date,keyword,target_page,serp_market,search_intent,priority,current_rank,previous_rank,best_rank,ranking_url,competitor_urls,source,notes
2026-06-22,product feed optimisation,/,Australia,commercial,high,,,,,,SearchRankings.com,Primary homepage target
2026-06-22,product feed optimization,/,Australia,commercial,high,,,,,,SearchRankings.com,US spelling variant
2026-06-22,product feed management,/product-feed-management/,Australia,commercial,high,,,,,,SearchRankings.com,Executive/commercial service page
2026-06-22,product feed management services,/product-feed-management/,Australia,commercial,high,,,,,,SearchRankings.com,
2026-06-22,ai product feed optimisation,/,Australia,commercial,high,,,,,,SearchRankings.com,
2026-06-22,ecommerce product feed management,/product-feed-management/,Australia,commercial,high,,,,,,SearchRankings.com,
2026-06-22,google shopping feed optimization,/guide/google-shopping-feed-optimization-guide/,Australia,commercial research,high,,,,,,SearchRankings.com,Core guide target
2026-06-22,google shopping feed optimisation,/guide/google-shopping-feed-optimization-guide/,Australia,commercial research,high,,,,,,SearchRankings.com,Australian spelling variant
2026-06-22,google shopping feed optimization guide,/guide/google-shopping-feed-optimization-guide/,Australia,informational,high,,,,,,SearchRankings.com,
2026-06-22,google shopping feed audit,/free-google-shopping-feed-audit/,Australia,lead generation,high,,,,,,SearchRankings.com,Free audit landing page
2026-06-22,free google shopping feed audit,/free-google-shopping-feed-audit/,Australia,lead generation,high,,,,,,SearchRankings.com,
2026-06-22,shopping feed agency,/shopping-feed-agency/,Australia,commercial,high,,,,,,SearchRankings.com,Agency partner page
2026-06-22,google shopping ads management,/guide/google-shopping-ads-management/,Australia,commercial research,high,,,,,,SearchRankings.com,
2026-06-22,google shopping ads management guide,/guide/google-shopping-ads-management/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google shopping ads not showing,/google-shopping-ads-not-showing/,Australia,troubleshooting,high,,,,,,SearchRankings.com,
2026-06-22,google merchant center errors,/google-merchant-center-errors/,Australia,troubleshooting,high,,,,,,SearchRankings.com,
2026-06-22,merchant center errors,/google-merchant-center-errors/,Australia,troubleshooting,medium,,,,,,SearchRankings.com,
2026-06-22,google shopping title optimization,/google-shopping-product-title-optimization/,Australia,informational,high,,,,,,SearchRankings.com,
2026-06-22,google shopping product title optimization,/google-shopping-product-title-optimization/,Australia,informational,high,,,,,,SearchRankings.com,
2026-06-22,google shopping title optimisation,/google-shopping-product-title-optimization/,Australia,informational,medium,,,,,,SearchRankings.com,Australian spelling variant
2026-06-22,what is a google shopping feed,/what-is-a-google-shopping-feed/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,shopping feed explained,/what-is-a-google-shopping-feed/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google shopping graph,/google-shopping-graph-explained/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google shopping graph explained,/google-shopping-graph-explained/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,product type google shopping,/product-type-google-shopping/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google product category,/google-product-category/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google shopping free listings,/feedops/google-shopping-free-listings/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google free listings,/feedops/google-shopping-free-listings/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,google local inventory ads performance max,/guide/google-local-inventory-ads-performance-max/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,local inventory ads performance max,/guide/google-local-inventory-ads-performance-max/,Australia,informational,medium,,,,,,SearchRankings.com,
2026-06-22,feedonomics alternative,/feedonomics-alternative-competitor/,Australia,comparison,high,,,,,,SearchRankings.com,
2026-06-22,feedonomics competitor,/feedonomics-alternative-competitor/,Australia,comparison,medium,,,,,,SearchRankings.com,
2026-06-22,intelligent reach alternative,/intelligent-reach-alternative/,Australia,comparison,high,,,,,,SearchRankings.com,
2026-06-22,athos commerce alternative,/intelligent-reach-alternative/,Australia,comparison,medium,,,,,,SearchRankings.com,
2026-06-22,feedops pricing,/pricing/,Australia,branded commercial,medium,,,,,,SearchRankings.com,
2026-06-22,feedops,/company/,Australia,branded,high,,,,,,SearchRankings.com,
